IdentifiantMaison,Chambres,Salon,SalleDeBainInterieure,Parking,Meuble,Jardin,Superficie_m2,DistanceRoute_m,Quartier,AgeMaison,LoyerMensuel_BIF,Salon_Bin,SalleDeBainInterieure_Bin,Parking_Bin,Meuble_Bin,Jardin_Bin,Quartier_Target,LoyerMensuel_Log1
374,3.0,Oui,Oui,Oui,Non,Non,115.0,32.0,Kinanira,13.0,1220099,1,1,1,0,0,0.001998321410015587,14.014443380563426
105,1.0,Oui,Non,Oui,Non,Non,37.0,113.0,Bwiza,21.0,223992,1,0,1,0,0,0.002013693113169553,12.319370080348886
404,4.0,Oui,Non,Non,Non,Non,174.0,246.0,Nyakabiga,20.0,978257,1,0,0,0,0,0.0016361256544502618,13.793528717907863
352,4.0,Oui,Oui,Oui,Non,Oui,190.0,260.0,Nyakabiga,7.0,1377223,1,1,1,0,1,0.0016361256544502618,14.135580436957458
119,1.0,Oui,Oui,Non,Non,Non,43.0,164.0,Kinanira,26.0,476807,1,1,0,0,0,0.001998321410015587,13.074869173116008
113,3.0,Oui,Oui,Oui,Non,Non,134.0,218.0,Nyakabiga,0.0,719344,1,1,1,0,0,0.0016361256544502618,13.486096354721623
396,2.0,Oui,Oui,Oui,Non,Non,99.0,63.0,Kamenge,5.0,633512,1,1,1,0,0,0.002181500872600349,13.359035799448328
295,1.0,Oui,Non,Oui,Non,Non,78.0,65.0,Ngagara,39.0,503262,1,0,1,0,0,0.002145738563213458,13.1288681752598
97,4.0,Oui,Non,Oui,Non,Non,191.0,40.0,Kinanira,28.0,1661275,1,0,1,0,0,0.001998321410015587,14.32309653975243
391,1.0,Oui,Non,Oui,Non,Non,171.0,154.0,Nyakabiga,0.0,455996,1,0,1,0,0,0.0016361256544502618,13.030241509527514
498,2.0,Oui,Oui,Non,Oui,Non,118.0,90.0,Nyakabiga,34.0,1139022,1,1,0,1,0,0.0016361256544502618,13.945681435377328
160,4.0,Oui,Oui,Oui,Non,Non,182.0,145.0,Kiriri,8.0,2600000,1,1,1,0,0,0.001998321410015587,14.77102238760702
224,1.0,Oui,Oui,Oui,Non,Non,30.0,154.0,Ngagara,7.0,516258,1,1,1,0,0,0.002145738563213458,13.154363856519463
499,5.0,Oui,Oui,Non,Non,Oui,218.0,8.0,Kinanira,10.0,1760321,1,1,0,0,1,0.001998321410015587,14.381007304825648
358,6.0,Oui,Oui,Oui,Non,Non,286.0,154.0,Ngagara,5.0,1744504,1,1,1,0,0,0.002145738563213458,14.371981405755617
298,4.0,Oui,Non,Non,Non,Non,192.0,160.0,Nyakabiga,7.0,947421,1,0,0,0,0,0.0016361256544502618,13.761499890650349
441,5.0,Oui,Oui,Oui,Oui,Oui,221.0,243.0,Nyakabiga,17.0,1597434,1,1,1,1,1,0.0016361256544502618,14.283909775830125
344,5.0,Oui,Oui,Oui,Non,Non,205.0,295.0,Cibitoke,12.0,1287255,1,1,1,0,0,0.002045157068062827,14.068023378996767
47,2.0,Oui,Non,Non,Non,Non,109.0,234.0,Gasekebuye,8.0,902908,1,0,0,0,0,0.0020293031373026502,13.713377052127163
152,5.0,Oui,Oui,Oui,Non,Oui,246.0,156.0,Cibitoke,29.0,1177720,1,1,1,0,1,0.002045157068062827,13.979091773036885
22,1.0,Oui,Non,Non,Oui,Non,30.0,142.0,Bwiza,33.0,322208,1,0,0,1,0,0.002013693113169553,12.682955682295788
260,1.0,Non,Oui,Oui,Non,Non,55.0,224.0,Bwiza,19.0,294403,0,1,1,0,0,0.002013693113169553,12.592708252701078
68,4.0,Oui,Oui,Oui,Non,Oui,193.0,133.0,Buyenzi,30.0,678188,1,1,1,0,1,0.010427934749686295,13.427181289137835
221,6.0,Oui,Oui,Oui,Oui,Oui,290.0,86.0,Kamenge,39.0,1612959,1,1,1,1,1,0.002181500872600349,14.293581558287768
41,1.0,Oui,Non,Non,Non,Non,67.0,60.0,Gihosha,25.0,567908,1,0,0,0,0,0.002163471939768941,13.249716473600486
408,6.0,Oui,Oui,Oui,Oui,Non,251.0,116.0,Gihosha,31.0,2462288,1,1,1,1,0,0.002163471939768941,14.716601963078
425,1.0,Oui,Oui,Non,Oui,Oui,81.0,234.0,Gasekebuye,9.0,1656710,1,1,0,1,1,0.0020293031373026502,14.320344869610025
270,2.0,Oui,Oui,Oui,Non,Non,81.0,58.0,Gasekebuye,20.0,1363749,1,1,1,0,0,0.0020293031373026502,14.125748816129418
9,3.0,Oui,Non,Non,Non,Oui,150.0,155.0,Kinama,27.0,544343,1,0,0,0,1,0.002128293534244243,13.207336678928382
387,2.0,Oui,Oui,Non,Non,Non,123.0,292.0,Kamenge,39.0,393758,1,1,0,0,0,0.002181500872600349,12.883494326003616
238,4.0,Oui,Oui,Oui,Non,Non,204.0,154.0,Nyakabiga,2.0,706249,1,1,1,0,0,0.0016361256544502618,13.467724561442788
490,4.0,Oui,Oui,Non,Non,Non,30.0,43.0,Musaga,13.0,295927,1,1,0,0,0,0.0021998328127062344,12.597871460474519
217,1.0,Non,Oui,Oui,Non,Non,82.0,224.0,Buyenzi,39.0,252890,0,1,1,0,0,0.010427934749686295,12.440713844836205
48,4.0,Oui,Oui,Oui,Oui,Non,169.0,172.0,Jabe,11.0,1252990,1,1,1,1,0,0.002181500872600349,14.041044051091037
334,3.0,Oui,Oui,Non,Non,Oui,171.0,31.0,Nyakabiga,20.0,1743777,1,1,0,0,1,0.0016361256544502618,14.371564581770565
1,4.0,Oui,Oui,Oui,Non,Oui,192.0,277.0,Rohero,17.0,2600000,1,1,1,0,1,0.002061260667023952,14.77102238760702
357,5.0,Oui,Oui,Oui,Non,Non,227.0,129.0,Kinanira,34.0,1780093,1,1,1,0,0,0.001998321410015587,14.392176729862687
223,1.0,Oui,Non,Non,Oui,Non,30.0,24.0,Musaga,11.0,620225,1,0,0,1,0,0.0021998328127062344,13.337839206730443
117,1.0,Oui,Oui,Oui,Non,Non,37.0,91.0,Cibitoke,23.0,405293,1,1,1,0,0,0.002045157068062827,12.912368008657822
226,4.0,Oui,Oui,Non,Oui,Oui,277.0,238.0,Buyenzi,15.0,988040,1,1,0,1,1,0.010427934749686295,13.803479473844696
276,4.0,Oui,Oui,Oui,Non,Oui,171.0,241.0,Jabe,37.0,1197233,1,1,1,0,1,0.002181500872600349,13.995524454156484
304,1.0,Oui,Oui,Oui,Non,Non,53.0,283.0,Gasekebuye,4.0,688494,1,1,1,0,0,0.0020293031373026502,13.442263334960352
227,2.0,Oui,Oui,Oui,Non,Non,126.0,225.0,Rohero,3.0,1441714,1,1,1,0,0,0.002061260667023952,14.181343935129583
31,3.0,Oui,Oui,Non,Non,Non,141.0,268.0,Gasekebuye,14.0,1203784,1,1,0,0,0,0.0020293031373026502,14.000981317476556
496,4.0,Oui,Oui,Non,Oui,Oui,205.0,105.0,Kinanira,33.0,1859845,1,1,0,1,1,0.001998321410015587,14.436004246562707
492,6.0,Oui,Oui,Non,Non,Oui,254.0,53.0,Gasekebuye,40.0,2600000,1,1,0,0,1,0.0020293031373026502,14.77102238760702
459,5.0,Oui,Oui,Oui,Non,Non,261.0,280.0,Jabe,4.0,1231964,1,1,1,0,0,0.002181500872600349,14.024121013581148
400,5.0,Oui,Oui,Oui,Non,Non,221.0,197.0,Rohero,3.0,2311703,1,1,1,0,0,0.002061260667023952,14.653495472896502
385,3.0,Oui,Oui,Oui,Non,Oui,148.0,18.0,Buyenzi,34.0,594316,1,1,1,0,1,0.010427934749686295,13.295168126027242
146,1.0,Oui,Oui,Non,Non,Non,47.0,251.0,Buyenzi,18.0,177224,1,1,0,0,0,0.010427934749686295,12.085175390723219
228,5.0,Oui,Oui,Oui,Non,Non,264.0,7.0,Kinanira,37.0,2137503,1,1,1,0,0,0.001998321410015587,14.57514935113633
506,5.0,Oui,Oui,Oui,Oui,Non,171.0,65.0,Kamenge,15.0,1160062,1,1,1,1,0,0.002181500872600349,13.963984871952622
350,1.0,Oui,Oui,Non,Non,Non,41.0,187.0,Gasekebuye,34.0,533641,1,1,0,0,0,0.0020293031373026502,13.187480481130708
81,2.0,Oui,Non,Non,Non,Non,94.0,295.0,Gasekebuye,2.0,868643,1,0,0,0,0,0.0020293031373026502,13.674688654028289
388,2.0,Non,Oui,Non,Non,Oui,72.0,193.0,Kamenge,23.0,453508,0,1,0,0,1,0.002181500872600349,13.02477039398539
158,3.0,Oui,Oui,Non,Non,Non,119.0,199.0,Kinama,33.0,365296,1,1,0,0,0,0.002128293534244243,12.808466000321511
142,2.0,Oui,Non,Oui,Oui,Oui,128.0,32.0,Buyenzi,29.0,693615,1,0,1,1,1,0.010427934749686295,13.449673772233156
196,3.0,Oui,Non,Oui,Non,Non,139.0,237.0,Bwiza,38.0,559592,1,0,1,0,0,0.002013693113169553,13.234965012760272
140,1.0,Non,Non,Non,Non,Non,49.0,205.0,Buyenzi,12.0,136149,0,0,0,0,0,0.010427934749686295,11.821512498101905
122,1.0,Oui,Non,Oui,Non,Non,36.0,49.0,Nyakabiga,7.0,480699,1,0,1,0,0,0.0016361256544502618,13.082998653882052
283,5.0,Oui,Oui,Oui,Non,Non,240.0,222.0,Kiriri,5.0,2600000,1,1,1,0,0,0.001998321410015587,14.77102238760702
509,6.0,Oui,Oui,Non,Non,Non,276.0,154.0,Kinanira,38.0,1831063,1,1,0,0,0,0.001998321410015587,14.420407776623065
328,6.0,Oui,Oui,Oui,Non,Non,281.0,262.0,Kiriri,21.0,2600000,1,1,1,0,0,0.001998321410015587,14.77102238760702
59,4.0,Oui,Oui,Non,Oui,Non,194.0,189.0,Nyakabiga,39.0,1208719,1,1,0,1,0,0.0016361256544502618,14.005072506413722
2,5.0,Oui,Oui,Non,Oui,Non,234.0,47.0,Rohero,37.0,2600000,1,1,0,1,0,0.002061260667023952,14.77102238760702
322,1.0,Oui,Oui,Oui,Non,Non,79.0,191.0,Gihosha,20.0,911902,1,1,1,0,0,0.002163471939768941,13.723288903750756
406,4.0,Oui,Oui,Oui,Non,Non,180.0,97.0,Nyakabiga,25.0,1252226,1,1,1,0,0,0.0016361256544502618,14.04043412411168
366,5.0,Oui,Oui,Oui,Non,Oui,218.0,65.0,Musaga,25.0,1326405,1,1,1,0,1,0.0021998328127062344,14.097983586875252
257,3.0,Oui,Oui,Non,Oui,Non,163.0,75.0,Nyakabiga,33.0,1197372,1,1,0,1,0,0.0016361256544502618,13.995640548363305
410,4.0,Oui,Oui,Oui,Non,Oui,210.0,47.0,Cibitoke,30.0,1229634,1,1,1,0,1,0.002045157068062827,14.02222793534273
180,1.0,Oui,Oui,Oui,Non,Non,51.0,175.0,Kiriri,20.0,948477,1,1,1,0,0,0.001998321410015587,13.76261387357055
427,2.0,Oui,Oui,Oui,Non,Oui,102.0,30.0,Bwiza,17.0,550558,1,1,1,0,1,0.002013693113169553,13.218689404697196
112,4.0,Non,Non,Oui,Non,Non,73.0,80.0,Nyakabiga,32.0,317276,0,0,1,0,0,0.0016361256544502618,12.66753048833827
267,4.0,Oui,Non,Oui,Non,Non,47.0,174.0,Rohero,1.0,1028667,1,0,1,0,0,0.002061260667023952,13.843775319412574
469,6.0,Oui,Oui,Oui,Non,Oui,289.0,294.0,Bwiza,12.0,1022991,1,1,1,0,1,0.002013693113169553,13.838242224766335
261,1.0,Non,Oui,Non,Non,Non,171.0,219.0,Kinama,20.0,192180,0,1,0,0,0,0.002128293534244243,12.166192915272815
300,3.0,Oui,Oui,Oui,Non,Oui,134.0,273.0,Kinama,4.0,708048,1,1,1,0,1,0.002128293534244243,13.47026857932057
416,3.0,Non,Oui,Oui,Non,Oui,164.0,226.0,Bwiza,8.0,571904,0,1,1,0,1,0.002013693113169553,13.256728172652391
448,4.0,Oui,Oui,Oui,Non,Non,193.0,183.0,Jabe,19.0,1065267,1,1,1,0,0,0.002181500872600349,13.878736968661313
13,6.0,Oui,Oui,Oui,Non,Non,259.0,229.0,Kinama,9.0,765914,1,1,1,0,0,0.002128293534244243,13.548826476508099
84,6.0,Oui,Oui,Oui,Non,Oui,285.0,200.0,Nyakabiga,21.0,2600000,1,1,1,0,1,0.0016361256544502618,14.77102238760702
436,4.0,Oui,Non,Non,Oui,Non,164.0,120.0,Gihosha,3.0,1678140,1,0,0,1,0,0.002163471939768941,14.333197191084565
335,6.0,Oui,Oui,Non,Non,Non,271.0,280.0,Musaga,16.0,1042623,1,1,0,0,0,0.0021998328127062344,13.85725117042584
430,3.0,Oui,Oui,Oui,Non,Oui,174.0,152.0,Nyakabiga,38.0,1056394,1,1,1,0,1,0.0016361256544502618,13.870372726338253
101,5.0,Oui,Oui,Non,Non,Oui,241.0,101.0,Cibitoke,30.0,1067184,1,1,0,0,1,0.002045157068062827,13.880534898572453
171,4.0,Oui,Oui,Non,Oui,Oui,176.0,75.0,Rohero,20.0,2233069,1,1,0,1,1,0.002061260667023952,14.618887878293341
258,4.0,Oui,Non,Oui,Oui,Non,173.0,96.0,Musaga,20.0,1252536,1,0,1,1,0,0.0021998328127062344,14.040681652422997
194,5.0,Oui,Oui,Oui,Non,Non,221.0,90.0,Musaga,39.0,1098204,1,1,1,0,0,0.0021998328127062344,13.909187586721298
151,5.0,Oui,Oui,Oui,Non,Oui,257.0,122.0,Gasekebuye,22.0,2451878,1,1,1,0,1,0.0020293031373026502,14.71236522734916
386,2.0,Oui,Oui,Non,Non,Non,123.0,207.0,Rohero,20.0,1502898,1,1,0,0,0,0.002061260667023952,14.2229064675417
195,1.0,Oui,Oui,Oui,Non,Non,31.0,122.0,Kinama,18.0,315568,1,1,1,0,0,0.002128293534244243,12.662132637527378
302,1.0,Oui,Oui,Oui,Non,Non,52.0,78.0,Nyakabiga,37.0,456328,1,1,1,0,0,0.0016361256544502618,13.03096931957492
75,6.0,Oui,Oui,Non,Non,Oui,171.0,206.0,Gasekebuye,37.0,2363592,1,1,0,0,1,0.0020293031373026502,14.675693476865247
452,1.0,Non,Oui,Oui,Non,Non,37.0,154.0,Bwiza,16.0,221451,0,1,1,0,0,0.002013693113169553,12.307961140694621
338,2.0,Oui,Oui,Oui,Non,Non,118.0,95.0,Bwiza,34.0,497616,1,1,1,0,0,0.002013693113169553,13.117585983810669
250,4.0,Oui,Oui,Oui,Non,Oui,194.0,299.0,Nyakabiga,26.0,1118967,1,1,1,0,1,0.0016361256544502618,13.92791738992359
337,3.0,Oui,Oui,Oui,Non,Oui,141.0,291.0,Jabe,37.0,887492,1,1,1,0,1,0.002181500872600349,13.696155912976659
178,1.0,Oui,Oui,Non,Non,Non,33.0,66.0,Kamenge,28.0,250370,1,1,0,0,0,0.002181500872600349,12.430699096804554
326,3.0,Oui,Oui,Non,Non,Non,115.0,81.0,Ngagara,11.0,1037226,1,1,0,0,0,0.002145738563213458,13.852061363931432
154,4.0,Oui,Oui,Oui,Non,Non,243.0,141.0,Kinama,8.0,876345,1,1,1,0,0,0.002128293534244243,13.68351626910453
489,5.0,Oui,Oui,Oui,Non,Oui,225.0,142.0,Rohero,9.0,2600000,1,1,1,0,1,0.002061260667023952,14.77102238760702
291,6.0,Oui,Oui,Non,Non,Oui,286.0,243.0,Jabe,21.0,1209913,1,1,0,0,1,0.002181500872600349,14.006059840666856
175,3.0,Oui,Oui,Non,Oui,Non,127.0,107.0,Kinama,16.0,754605,1,1,0,1,0,0.002128293534244243,13.533951037713177
262,2.0,Oui,Non,Non,Non,Non,122.0,281.0,Ngagara,22.0,629805,1,0,0,0,0,0.002145738563213458,13.353167114437596
116,2.0,Oui,Oui,Non,Oui,Oui,91.0,169.0,Cibitoke,16.0,980090,1,1,0,1,1,0.002045157068062827,13.795400703478654
376,1.0,Oui,Oui,Oui,Non,Non,64.0,195.0,Bwiza,6.0,342357,1,1,1,0,0,0.002013693113169553,12.743612252174534
321,3.0,Oui,Non,Oui,Non,Oui,119.0,60.0,Gasekebuye,30.0,1738158,1,0,1,0,1,0.0020293031373026502,14.368337065087928
67,2.0,Non,Oui,Oui,Non,Oui,95.0,211.0,Jabe,13.0,727436,0,1,1,0,1,0.002181500872600349,13.497282676339822
491,6.0,Oui,Oui,Oui,Oui,Non,250.0,32.0,Nyakabiga,29.0,1921167,1,1,1,1,0,0.0016361256544502618,14.468443892377582
451,3.0,Oui,Oui,Oui,Non,Non,116.0,238.0,Buyenzi,10.0,395848,1,1,1,0,0,0.010427934749686295,12.888788104386967
17,6.0,Oui,Oui,Non,Non,Non,281.0,207.0,Kamenge,22.0,1020710,1,1,0,0,0,0.002181500872600349,13.83601000125132
290,4.0,Oui,Oui,Oui,Non,Non,187.0,298.0,Kinanira,34.0,1307156,1,1,1,0,0,0.001998321410015587,14.083365107809989
232,4.0,Oui,Oui,Oui,Non,Oui,192.0,63.0,Nyakabiga,11.0,1253462,1,1,1,0,1,0.0016361256544502618,14.041420678793424
179,6.0,Oui,Oui,Non,Non,Oui,299.0,21.0,Bwiza,20.0,1232722,1,1,0,0,1,0.002013693113169553,14.02473610159545
98,5.0,Oui,Oui,Non,Non,Oui,228.0,154.0,Nyakabiga,4.0,1709901,1,1,0,0,1,0.0016361256544502618,14.351946616895045
60,4.0,Oui,Oui,Oui,Non,Non,171.0,209.0,Kiriri,12.0,2600000,1,1,1,0,0,0.001998321410015587,14.77102238760702
63,3.0,Non,Non,Non,Oui,Oui,122.0,260.0,Kiriri,5.0,2366166,0,0,0,1,1,0.001998321410015587,14.67678190429248
155,4.0,Oui,Oui,Oui,Non,Non,173.0,179.0,Bwiza,0.0,699138,1,1,1,0,0,0.002013693113169553,13.45760485695468
114,5.0,Oui,Oui,Oui,Oui,Non,252.0,289.0,Ngagara,20.0,1788192,1,1,1,1,0,0.002145738563213458,14.396716170724748
439,4.0,Oui,Oui,Non,Non,Oui,169.0,11.0,Kiriri,5.0,2568644,1,1,0,0,1,0.001998321410015587,14.75888908047883
330,6.0,Oui,Oui,Oui,Non,Non,171.0,186.0,Rohero,36.0,2600000,1,1,1,0,0,0.002061260667023952,14.77102238760702
426,4.0,Oui,Oui,Oui,Non,Non,197.0,296.0,Kinanira,37.0,1266130,1,1,1,0,0,0.001998321410015587,14.051476351846466
367,3.0,Oui,Oui,Non,Non,Oui,123.0,157.0,Gihosha,19.0,1159467,1,1,0,0,1,0.002163471939768941,13.963471837194259
299,6.0,Oui,Oui,Oui,Non,Oui,302.0,114.0,Nyakabiga,10.0,1745877,1,1,1,0,1,0.0016361256544502618,14.372768138942675
90,5.0,Oui,Oui,Non,Non,Non,253.0,281.0,Ngagara,13.0,1460564,1,1,0,0,0,0.002145738563213458,14.194333905126003
193,6.0,Oui,Oui,Oui,Non,Non,301.0,97.0,Bwiza,1.0,856704,1,1,1,0,0,0.002013693113169553,13.660848914283884
463,5.0,Oui,Oui,Oui,Non,Non,235.0,277.0,Buyenzi,34.0,741104,1,1,1,0,0,0.010427934749686295,13.515897594644528
54,1.0,Oui,Oui,Non,Non,Non,55.0,22.0,Nyakabiga,20.0,492200,1,1,0,0,0,0.0016361256544502618,13.106642448631462
333,5.0,Oui,Oui,Oui,Non,Non,230.0,180.0,Nyakabiga,20.0,1346455,1,1,1,0,0,0.0016361256544502618,14.112986513388327
188,1.0,Non,Oui,Non,Non,Non,32.0,148.0,Musaga,40.0,156174,0,1,0,0,0,0.0021998328127062344,11.95873245236177
336,3.0,Oui,Non,Non,Non,Non,173.0,144.0,Bwiza,21.0,647110,1,0,0,0,0,0.002013693113169553,13.380273119819128
27,4.0,Oui,Oui,Oui,Non,Non,161.0,81.0,Bwiza,17.0,579453,1,1,1,0,0,0.002013693113169553,13.269841559836475
292,1.0,Oui,Oui,Oui,Non,Oui,65.0,199.0,Gasekebuye,39.0,900405,1,1,1,0,1,0.0020293031373026502,13.710601051697532
165,1.0,Oui,Oui,Non,Non,Non,71.0,52.0,Rohero,13.0,1063895,1,1,0,0,0,0.002061260667023952,13.877448199745533
237,5.0,Oui,Oui,Oui,Non,Oui,248.0,154.0,Nyakabiga,33.0,887255,1,1,1,0,1,0.0016361256544502618,13.695888832954179
341,1.0,Oui,Oui,Oui,Non,Non,58.0,147.0,Cibitoke,16.0,511294,1,1,1,0,0,0.002045157068062827,13.144702002025557
411,3.0,Oui,Non,Non,Non,Non,153.0,211.0,Kinanira,2.0,1074822,1,0,0,0,0,0.001998321410015587,13.88766655482462
57,2.0,Oui,Non,Non,Non,Oui,120.0,143.0,Rohero,24.0,1588560,1,0,0,0,1,0.002061260667023952,14.278339132961648
131,4.0,Oui,Oui,Oui,Non,Oui,166.0,250.0,Bwiza,17.0,718007,1,1,1,0,1,0.002013693113169553,13.484235990029571
353,4.0,Oui,Oui,Oui,Non,Oui,164.0,239.0,Cibitoke,14.0,1190263,1,1,1,0,1,0.002045157068062827,13.989685689222416
324,4.0,Oui,Oui,Oui,Non,Oui,192.0,259.0,Kiriri,30.0,2534681,1,1,1,0,1,0.001998321410015587,14.74557874335171
348,4.0,Oui,Oui,Non,Non,Non,171.0,170.0,Gihosha,13.0,1299815,1,1,0,0,0,0.002163471939768941,14.077733273952713
497,4.0,Oui,Oui,Oui,Non,Non,103.0,286.0,Ngagara,9.0,867065,1,1,1,0,0,0.002145738563213458,13.672870377432826
434,5.0,Oui,Oui,Oui,Non,Oui,255.0,213.0,Cibitoke,29.0,1313016,1,1,1,0,1,0.002045157068062827,14.087838100649707
253,4.0,Oui,Oui,Non,Non,Oui,216.0,196.0,Kinama,34.0,728007,1,1,0,0,1,0.002128293534244243,13.498067316129433
437,4.0,Oui,Oui,Non,Non,Non,188.0,148.0,Bwiza,28.0,582680,1,1,0,0,0,0.002013693113169553,13.275395145769279
431,4.0,Oui,Oui,Oui,Non,Non,189.0,12.0,Musaga,33.0,951313,1,1,1,0,0,0.0021998328127062344,13.765599465789718
256,3.0,Oui,Non,Non,Non,Non,155.0,63.0,Kiriri,25.0,1681668,1,0,0,0,0,0.001998321410015587,14.335297310613162
278,2.0,Oui,Non,Oui,Non,Non,97.0,154.0,Kinama,14.0,340768,1,0,1,0,0,0.002128293534244243,12.738960107358649
454,4.0,Oui,Non,Non,Oui,Non,202.0,123.0,Kinanira,3.0,1622245,1,0,0,1,0,0.001998321410015587,14.299322166769171
285,1.0,Oui,Oui,Oui,Oui,Non,32.0,182.0,Musaga,3.0,617267,1,1,1,1,0,0.0021998328127062344,13.333058568386123
